,gender,age,injury_present,specific_sport_BJJ,specific_sport_BOKSNING,specific_sport_BOULDERING,specific_sport_DANS,specific_sport_FODBOLD,specific_sport_MMA,specific_sport_MUAY_THAI,specific_sport_RIDNING,specific_sport_SVÃ˜MNING
0,2,4,0,False,True,False,False,False,False,False,False,False
1,1,1,1,False,False,False,False,False,False,True,False,False
2,2,2,1,True,False,False,False,False,False,False,False,False
3,1,2,1,False,False,False,False,True,False,False,False,False
4,2,1,0,True,False,False,False,False,False,False,False,False
5,1,2,1,False,False,False,False,False,True,False,False,False
6,1,1,1,False,False,False,False,False,True,False,False,False
7,1,3,1,True,False,False,False,False,False,False,False,False
8,1,4,1,True,False,False,False,False,False,False,False,False
9,1,2,1,False,False,False,False,False,False,True,False,False
10,1,2,1,False,False,False,False,False,True,False,False,False
11,1,2,1,False,False,False,False,True,False,False,False,False
12,2,4,1,False,True,False,False,False,False,False,False,False
13,1,2,1,False,False,False,False,True,False,False,False,False
14,1,2,1,False,False,False,False,True,False,False,False,False
15,1,3,1,False,False,False,False,True,False,False,False,False
16,2,3,0,True,False,False,False,False,False,False,False,False
17,1,3,1,True,False,False,False,False,False,False,False,False
18,1,1,0,False,False,False,False,False,False,True,False,False
19,1,1,1,False,False,False,False,False,False,True,False,False
20,1,1,0,False,False,False,False,False,True,False,False,False
21,1,2,0,True,False,False,False,False,False,False,False,False
22,1,1,0,False,False,False,False,False,True,False,False,False
23,1,4,1,False,False,False,False,False,False,True,False,False
24,1,2,1,False,False,False,False,True,False,False,False,False
25,1,3,1,True,False,False,False,False,False,False,False,False
26,1,2,1,False,False,False,False,False,True,False,False,False
27,1,3,1,False,False,False,False,False,True,False,False,False
28,1,1,1,False,False,False,False,False,False,True,False,False
29,1,3,1,True,False,False,False,False,False,False,False,False
30,1,2,1,False,False,False,False,False,False,True,False,False
31,1,1,1,False,False,False,False,True,False,False,False,False
32,1,2,0,False,False,False,False,True,False,False,False,False
33,1,3,1,True,False,False,False,False,False,False,False,False
34,2,3,1,False,False,False,False,True,False,False,False,False
35,1,3,1,True,False,False,False,False,False,False,False,False
36,1,3,1,True,False,False,False,False,False,False,False,False
37,2,2,1,True,False,False,False,False,False,False,False,False
38,1,4,1,False,False,False,False,False,False,True,False,False
39,2,1,1,True,False,False,False,False,False,False,False,False
40,1,3,1,False,False,False,False,False,False,False,False,False
41,1,3,1,True,False,False,False,False,False,False,False,False
42,1,1,1,False,False,False,False,False,False,True,False,False
43,1,2,1,False,False,False,False,False,False,True,False,False
44,1,2,1,True,False,False,False,False,False,False,False,False
45,2,4,1,False,False,False,False,False,False,False,False,False
46,1,1,1,False,False,False,False,False,True,False,False,False
47,2,2,1,True,False,False,False,False,False,False,False,False
48,1,3,1,False,False,False,False,True,False,False,False,False
49,1,4,1,False,False,False,False,True,False,False,False,False
50,2,4,1,False,False,False,False,True,False,False,False,False
51,1,3,1,False,False,False,False,False,False,True,False,False
52,1,3,1,False,False,False,False,True,False,False,False,False
53,1,4,1,False,False,False,False,True,False,False,False,False
54,1,3,0,False,False,False,False,False,True,False,False,False
55,1,2,0,True,False,False,False,False,False,False,False,False
56,2,2,1,False,False,False,False,False,False,True,False,False
57,1,2,0,False,False,False,False,False,False,True,False,False
58,1,1,1,False,False,False,False,True,False,False,False,False
59,1,2,1,True,False,False,False,False,False,False,False,False
60,1,1,0,False,False,False,False,False,False,False,False,False
61,1,2,1,False,False,False,False,False,True,False,False,False
62,2,3,1,False,False,False,False,True,False,False,False,False
63,1,2,1,False,False,False,False,True,False,False,False,False
64,1,2,1,False,False,False,False,True,False,False,False,False
65,1,3,1,True,False,False,False,False,False,False,False,False
66,1,1,0,False,False,False,False,False,True,False,False,False
67,1,2,1,True,False,False,False,False,False,False,False,False
68,1,4,0,False,False,False,False,False,False,True,False,False
69,1,3,0,True,False,False,False,False,False,False,False,False
70,1,1,1,False,False,False,False,False,False,True,False,False
71,1,3,1,False,False,False,False,False,False,True,False,False
72,1,2,1,False,False,False,False,False,False,True,False,False
73,2,2,1,False,False,False,False,False,False,True,False,False
74,1,2,1,True,False,False,False,False,False,False,False,False
75,1,2,1,True,False,False,False,False,False,False,False,False
76,1,2,1,True,False,False,False,False,False,False,False,False
77,2,4,1,False,False,False,False,False,False,True,False,False
78,1,2,1,False,False,False,False,False,False,True,False,False
79,1,3,1,False,False,False,False,True,False,False,False,False
80,1,1,1,False,False,False,False,True,False,False,False,False
81,1,3,0,False,False,False,False,False,False,True,False,False
82,1,2,1,True,False,False,False,False,False,False,False,False
83,1,3,0,False,False,False,False,False,False,True,False,False
84,2,3,0,False,False,False,False,True,False,False,False,False
85,1,2,1,False,False,False,False,False,False,False,False,False
86,2,1,0,False,False,False,False,False,False,False,False,False
87,2,2,0,False,False,True,False,False,False,False,False,False
88,1,1,1,False,False,True,False,False,False,False,False,False
89,2,1,1,False,False,False,False,False,False,False,False,True
90,2,1,1,False,False,False,True,False,False,False,False,False
91,2,1,1,False,False,False,False,False,False,False,False,False
92,1,1,0,False,False,False,False,True,False,False,False,False
93,1,3,1,False,False,True,False,False,False,False,False,False
94,1,1,1,False,False,True,False,False,False,False,False,False
95,2,2,0,False,False,False,False,True,False,False,False,False
96,2,2,0,False,False,False,False,True,False,False,False,False
97,2,1,1,False,False,False,False,False,False,False,False,False
98,2,1,1,False,False,False,True,False,False,False,False,False
99,2,1,1,False,False,False,False,False,False,False,False,True
100,2,2,1,False,False,True,False,False,False,False,False,False
101,2,1,0,False,False,False,False,True,False,False,False,False
102,2,1,1,False,False,False,False,True,False,False,False,False
103,2,1,1,False,False,False,False,True,False,False,False,False
104,2,2,0,False,False,True,False,False,False,False,False,False
105,2,4,1,False,False,False,False,True,False,False,False,False
106,1,4,0,False,False,False,False,False,False,False,False,False
107,2,3,1,False,False,False,False,True,False,False,False,False
108,2,4,1,False,False,False,True,False,False,False,False,False
109,1,2,1,False,False,False,False,False,False,True,False,False
110,2,2,1,False,False,True,False,False,False,False,False,False
111,2,4,1,False,False,False,False,True,False,False,False,False
112,1,2,1,False,False,True,False,False,False,False,False,False
113,1,1,1,False,False,True,False,False,False,False,False,False
114,2,1,1,False,False,False,False,True,False,False,False,False
115,1,1,1,False,False,False,False,True,False,False,False,False
116,2,1,0,False,False,False,False,True,False,False,False,False
117,1,2,1,False,False,False,False,False,False,False,False,False
118,1,4,0,False,False,False,False,False,False,False,False,False
119,2,1,0,False,False,False,False,True,False,False,False,False
120,1,2,1,False,False,False,False,False,False,False,False,False
121,2,1,1,False,False,False,False,True,False,False,False,False
122,2,1,1,False,False,False,False,True,False,False,False,False
123,2,2,1,False,False,True,False,False,False,False,False,False
124,2,1,1,False,False,True,False,False,False,False,False,False
125,1,1,1,False,False,True,False,False,False,False,False,False
126,2,1,1,False,False,False,False,True,False,False,False,False
127,2,3,1,False,False,False,False,True,False,False,False,False
128,1,4,0,True,False,False,False,False,False,False,False,False
129,1,3,1,False,False,False,False,True,False,False,False,False
130,1,1,0,False,False,True,False,False,False,False,False,False
131,1,1,0,False,False,True,False,False,False,False,False,False
132,1,4,1,False,False,False,False,False,False,False,False,False
133,1,2,0,False,False,False,False,False,False,False,False,False
134,1,4,1,True,False,False,False,False,False,False,False,False
135,2,1,1,True,False,False,False,False,False,False,False,False
136,1,2,0,False,False,False,False,False,False,False,False,False
137,1,2,1,False,False,False,False,False,False,False,False,False
138,2,1,1,False,False,False,False,False,False,False,False,False
139,2,4,0,False,False,False,False,True,False,False,False,False
140,2,4,0,False,False,False,False,True,False,False,False,False
141,2,1,1,False,False,False,False,True,False,False,False,False
142,2,4,0,False,False,False,False,True,False,False,False,False
143,2,2,1,False,False,False,False,True,False,False,False,False
144,3,1,0,False,False,True,False,False,False,False,False,False
145,2,1,1,False,False,False,False,True,False,False,False,False
146,1,3,1,False,False,False,False,False,False,False,False,False
147,1,1,1,False,False,True,False,False,False,False,False,False
148,2,1,1,False,False,False,False,True,False,False,False,False
149,2,1,1,False,False,False,False,True,False,False,False,False
150,1,3,1,False,False,False,False,False,True,False,False,False
151,1,2,1,False,False,True,False,False,False,False,False,False
152,1,1,0,False,False,True,False,False,False,False,False,False
153,2,2,1,False,False,False,False,True,False,False,False,False
154,2,1,0,False,False,False,False,True,False,False,False,False
155,2,2,1,False,False,False,False,True,False,False,False,False
156,2,4,1,False,False,False,False,True,False,False,False,False
157,1,3,0,False,False,False,False,True,False,False,False,False
158,2,4,0,False,False,False,False,True,False,False,False,False
159,2,4,1,False,False,False,False,True,False,False,False,False
160,2,3,1,False,False,True,False,False,False,False,False,False
161,1,2,1,False,False,True,False,False,False,False,False,False
162,2,1,1,False,False,False,False,True,False,False,False,False
163,1,2,1,False,False,False,False,True,False,False,False,False
164,2,1,0,False,False,False,False,True,False,False,False,False
165,2,2,1,False,False,True,False,False,False,False,False,False
166,2,4,0,False,False,False,False,False,False,False,False,False
167,1,3,1,False,False,True,False,False,False,False,False,False
168,2,1,1,False,False,False,False,False,False,False,False,True
169,1,4,1,False,False,False,False,False,False,True,False,False
170,2,2,1,False,False,False,False,True,False,False,False,False
171,2,4,1,False,False,False,False,True,False,False,False,False
172,1,1,1,False,False,True,False,False,False,False,False,False
173,1,3,1,False,False,False,False,False,False,False,False,False
174,1,2,0,True,False,False,False,False,False,False,False,False
175,2,1,0,False,False,False,False,True,False,False,False,False
176,1,1,0,False,False,True,False,False,False,False,False,False
177,2,4,0,False,False,False,False,False,False,False,False,True
178,1,2,1,False,False,False,False,False,False,True,False,False
179,2,1,0,False,False,False,False,False,False,False,True,False
180,1,2,1,False,False,True,False,False,False,False,False,False
181,2,3,1,False,False,False,False,True,False,False,False,False
182,2,1,0,False,False,False,False,False,False,False,False,True
183,1,1,1,False,True,False,False,False,False,False,False,False
184,2,1,1,False,False,False,False,False,False,False,True,False
185,1,2,1,False,False,True,False,False,False,False,False,False
186,2,2,1,False,False,True,False,False,False,False,False,False
187,1,1,1,False,False,False,False,True,False,False,False,False
188,1,1,1,False,False,False,False,True,False,False,False,False
189,2,4,0,False,False,False,False,True,False,False,False,False
190,1,1,1,False,False,False,False,False,False,True,False,False
191,1,3,1,False,False,False,False,True,False,False,False,False
192,2,1,0,False,False,False,False,False,False,False,True,False
193,2,1,1,False,False,False,False,True,False,False,False,False
194,2,1,1,False,False,False,False,True,False,False,False,False
195,2,1,1,False,False,False,False,True,False,False,False,False
196,2,4,0,False,False,False,True,False,False,False,False,False
197,2,1,1,False,False,False,False,False,False,False,True,False
198,1,2,1,False,False,False,False,False,True,False,False,False
199,2,1,1,False,False,False,False,True,False,False,False,False
200,1,3,1,False,False,True,False,False,False,False,False,False
